"cosHig","Points:0","Points:1","Points:2"
0,5962.5,18.75,0
0,5981.2,18.75,0
0,6000,18.75,0
0,6018.8,18.75,0
0.54097,6037.5,18.75,0
0.6957,0,37.5,0
0,18.75,37.5,0
0,37.5,37.5,0
0,56.25,37.5,0
0,75,37.5,0
0,93.75,37.5,0
0,112.5,37.5,0
0,131.25,37.5,0
0,150,37.5,0
0,168.75,37.5,0
0,187.5,37.5,0
0,206.25,37.5,0
0,225,37.5,0
0,243.75,37.5,0
0,262.5,37.5,0
0,281.25,37.5,0
0,300,37.5,0
0,318.75,37.5,0
0,337.5,37.5,0
0,356.25,37.5,0
0,375,37.5,0
0,393.75,37.5,0
0,412.5,37.5,0
0,431.25,37.5,0
0,450,37.5,0
0,468.75,37.5,0
0,487.5,37.5,0
0,506.25,37.5,0
0,525,37.5,0
0,543.75,37.5,0
0,562.5,37.5,0
0,581.25,37.5,0
0,600,37.5,0
0,618.75,37.5,0
0,637.5,37.5,0
0,656.25,37.5,0
0,675,37.5,0
0,693.75,37.5,0
0,712.5,37.5,0
0,731.25,37.5,0
0,750,37.5,0
0,768.75,37.5,0
0,787.5,37.5,0
0,806.25,37.5,0
0,825,37.5,0
0,843.75,37.5,0
0,862.5,37.5,0
0,881.25,37.5,0
0,900,37.5,0
0,918.75,37.5,0
0,937.5,37.5,0
0,956.25,37.5,0
0,975,37.5,0
0,993.75,37.5,0
0,1012.5,37.5,0
0,1031.2,37.5,0
0,1050,37.5,0
0,1068.8,37.5,0
0,1087.5,37.5,0
0,1106.2,37.5,0
0,1125,37.5,0
0,1143.8,37.5,0
0,1162.5,37.5,0
0,1181.2,37.5,0
0,1200,37.5,0
0,1218.8,37.5,0
0,1237.5,37.5,0
0,1256.2,37.5,0
0,1275,37.5,0
0,1293.8,37.5,0
0,1312.5,37.5,0
0,1331.2,37.5,0
0,1350,37.5,0
0,1368.8,37.5,0
0,1387.5,37.5,0
0,1406.2,37.5,0
0,1425,37.5,0
0,1443.8,37.5,0
0,1462.5,37.5,0
0,1481.2,37.5,0
0,1500,37.5,0
0,1518.8,37.5,0
0,1537.5,37.5,0
0,1556.2,37.5,0
0,1575,37.5,0
0,1593.8,37.5,0
0,1612.5,37.5,0
0,1631.2,37.5,0
0,1650,37.5,0
0,1668.8,37.5,0
0,1687.5,37.5,0
0,1706.2,37.5,0
0,1725,37.5,0
0,1743.8,37.5,0
0,1762.5,37.5,0
0,1781.2,37.5,0
0,1800,37.5,0
0,1818.8,37.5,0
0,1837.5,37.5,0
0,1856.2,37.5,0
0,1875,37.5,0
0,1893.8,37.5,0
0,1912.5,37.5,0
0,1931.2,37.5,0
0,1950,37.5,0
0,1968.8,37.5,0
0,1987.5,37.5,0
0,2006.2,37.5,0
0,2025,37.5,0
0,2043.8,37.5,0
0,2062.5,37.5,0
0,2081.2,37.5,0
0,2100,37.5,0
0,2118.8,37.5,0
0,2137.5,37.5,0
0,2156.2,37.5,0
0,2175,37.5,0
0,2193.8,37.5,0
0,2212.5,37.5,0
0,2231.2,37.5,0
0,2250,37.5,0
0,2268.8,37.5,0
0,2287.5,37.5,0
0,2306.2,37.5,0
0,2325,37.5,0
0,2343.8,37.5,0
0,2362.5,37.5,0
0,2381.2,37.5,0
0,2400,37.5,0
0,2418.8,37.5,0
0,2437.5,37.5,0
0,2456.2,37.5,0
0,2475,37.5,0
0,2493.8,37.5,0
0,2512.5,37.5,0
0,2531.2,37.5,0
0,2550,37.5,0
0,2568.8,37.5,0
0,2587.5,37.5,0
0,2606.2,37.5,0
0,2625,37.5,0
0,2643.8,37.5,0
0,2662.5,37.5,0
0,2681.2,37.5,0
0,2700,37.5,0
0,2718.8,37.5,0
0,2737.5,37.5,0
0,2756.2,37.5,0
0,2775,37.5,0
0,2793.8,37.5,0
0,2812.5,37.5,0
0,2831.2,37.5,0
0,2850,37.5,0
0,2868.8,37.5,0
0,2887.5,37.5,0
0,2906.2,37.5,0
0,2925,37.5,0
0,2943.8,37.5,0
0,2962.5,37.5,0
0,2981.2,37.5,0
0,3000,37.5,0
0,3018.8,37.5,0
0,3037.5,37.5,0
0,3056.2,37.5,0
0,3075,37.5,0
0,3093.8,37.5,0
0,3112.5,37.5,0
0,3131.2,37.5,0
0,3150,37.5,0
0,3168.8,37.5,0
0,3187.5,37.5,0
0,3206.2,37.5,0
0,3225,37.5,0
0,3243.8,37.5,0
0,3262.5,37.5,0
0,3281.2,37.5,0
0,3300,37.5,0
0,3318.8,37.5,0
0,3337.5,37.5,0
0,3356.2,37.5,0
0,3375,37.5,0
0,3393.8,37.5,0
0,3412.5,37.5,0
0,3431.2,37.5,0
0,3450,37.5,0
0,3468.8,37.5,0
0,3487.5,37.5,0
0,3506.2,37.5,0
0,3525,37.5,0
0,3543.8,37.5,0
0,3562.5,37.5,0
0,3581.2,37.5,0
0,3600,37.5,0
0,3618.8,37.5,0
0,3637.5,37.5,0
0,3656.2,37.5,0
0,3675,37.5,0
0,3693.8,37.5,0
0,3712.5,37.5,0
0,3731.2,37.5,0
0,3750,37.5,0
0,3768.8,37.5,0
0,3787.5,37.5,0
0,3806.2,37.5,0
0,3825,37.5,0
0,3843.8,37.5,0
0,3862.5,37.5,0
0,3881.2,37.5,0
0,3900,37.5,0
0,3918.8,37.5,0
0,3937.5,37.5,0
0,3956.2,37.5,0
